userID,Email,Name,Status,projectID,password
YCHERN,YCHERN@e.ntu.edu.sg,Chern,NOTREGISTERED,-1,password
CT113,CT113@e.ntu.edu.sg,Calvin,NOTREGISTERED,-1,password
LE51,LE51@e.ntu.edu.sg,Lee,NOTREGISTERED,-1,password
AKY013,AKY013@e.ntu.edu.sg,Rawal,NOTREGISTERED,-1,password
YCN019,YCN019@e.ntu.edu.sg,Chan,NOTREGISTERED,-1,password
BR015,BR015@e.ntu.edu.sg,Brandon,NOTREGISTERED,-1,password
DON84,DON84@e.ntu.edu.sg,Dong,NOTREGISTERED,-1,password
ELI34,ELI34@e.ntu.edu.sg,Ernest,NOTREGISTERED,-1,password
KOH1,KOH1@e.ntu.edu.sg,Koh,NOTREGISTERED,-1,password
DL007,DL007@e.ntu.edu.sg,Denise,NOTREGISTERED,-1,password
SL22,SL22@e.ntu.edu.sg,Liu,NOTREGISTERED,-1,password
